level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
0,0,12/02/2019,"Photovoltaic Solar Panel Energy Generation / Île-de-France, France / 2014","Points:(48.1201-1.4462),(49.2414-3.5592)","(48.1201,1.4462)|(49.2414,3.5592)",True,"48.1201, 49.2414, 49.2414, 48.1201","1.4462, 1.4462, 3.5592, 3.5592"
1,1,12/02/2019,Electricity Consumption / Germany / 2015,"Points:(47.27011137-5.86631529),(55.09916098-15.04193189)","(47.27011137,5.86631529)|(55.09916098,15.04193189)",True,"55.09916098, 55.09916098, 47.27011137, 47.27011137","15.04193189, 5.86631529, 5.86631529, 15.04193189"
2,2,11/26/2019,"Particulate Matter 10 / Chiayi County, Taiwan-Chinese Taipei / 2015","Points:(23.467122-120.247811),(23.554839-120.345531)","(23.467122,120.247811)|(23.554839,120.345531)",True,"23.467122, 23.554839, 23.554839, 23.467122","120.247811, 120.247811, 120.345531, 120.345531"
10,10,11/26/2019,"Vehicle Counts / I-291, East Springfield, Springfield, Massachusetts, United States / 2017","Points:(42.0971373572--72.6084780751),(42.1680020842--72.5305316072)","(42.0971373572,-72.6084780751)|(42.1680020842,-72.5305316072)",True,"42.1680020842, 42.1680020842, 42.0971373572, 42.0971373572","-72.5305316072, -72.6084780751, -72.6084780751, -72.5305316072"
14,20,11/22/2019,"Particulate Matter 10 / Hsinchu County, Taiwan-Chinese Taipei / 2016","Points:(24.90014167-121.0386528),(24.740645-121.0889028)","(24.90014167,121.0386528)|(24.740645,121.0889028)",True,"24.90014167, 24.90014167, 24.740645, 24.740645","121.0386528, 121.0889028, 121.0889028, 121.0386528"
22,28,11/22/2019,"Vehicle Counts / I-94, Detroit, Michigan, United States / 2014","Points:(42.332347--83.138136),(42.401139--82.974529)","(42.332347,-83.138136)|(42.401139,-82.974529)",True,"42.401139, 42.401139, 42.332347, 42.332347","-82.974529, -83.138136, -83.138136, -82.974529"
47,54,11/19/2019,"Air Temperature / Hsinchu County, Taiwan-Chinese Taipei / 2016","Points:(24.90014167-121.03865278),(24.740645-121.08890278)","(24.90014167,121.03865278)|(24.740645,121.08890278)",True,"24.90014167, 24.90014167, 24.740645, 24.740645","121.03865278, 121.08890278, 121.08890278, 121.03865278"
51,58,11/19/2019,"Relative Humidity / Hsinchu County, Taiwan-Chinese Taipei / 2017","Points:(24.740645-121.08890278),(24.90014167-121.03865278)","(24.740645,121.08890278)|(24.90014167,121.03865278)",True,"24.90014167, 24.90014167, 24.740645, 24.740645","121.03865278, 121.08890278, 121.08890278, 121.03865278"
63,70,11/15/2019,"Particulate Matter 10 / Kilpauk, Chennai, Tamil Nadu, India / 2015","Points:(13.091827-80.251157),(13.074105-80.226022)","(13.091827,80.251157)|(13.074105,80.226022)",True,"13.074105, 13.091827, 13.091827, 13.074105","80.226022, 80.226022, 80.251157, 80.251157"
64,71,11/13/2019,"Vehicle Counts / I-95, Attleboro, Massachusetts, United States / 2016","Points:(41.89320087--71.38174508),(41.98732026--71.20806098)","(41.89320087,-71.38174508)|(41.98732026,-71.20806098)",True,"41.98732026, 41.98732026, 41.89320087, 41.89320087","-71.20806098, -71.38174508, -71.38174508, -71.20806098"
