level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
0,14,11/26/2019,"Rail Vehicle Ridership Counts / Manila Metro Rail Transit System Line 3, Metro Manila, Philippines / 2012","Points:(14.6541777-121.0346116),(14.5854939-121.0747146),(14.5299998-121.0151183),(14.5332401-120.9805113),(14.6541777-121.0344399)","(14.6541777,121.0346116)|(14.5854939,121.0747146)|(14.5299998,121.0151183)|(14.5332401,120.9805113)|(14.6541777,121.0344399)",False,"14.6541777, 14.5854939, 14.5299998, 14.5332401, 14.6541777","121.0346116, 121.0747146, 121.0151183, 120.9805113, 121.0344399"
7,277,10/18/2019,"Road Subsurface Temperature / Statewide Iowa, United States","Points:(40.5538524--95.8256197),(43.4879258--96.9237323),(43.5397137--91.104382),(42.0394767--90.065827),(40.4201614--91.3408956)","(40.5538524,-95.8256197)|(43.4879258,-96.9237323)|(43.5397137,-91.104382)|(42.0394767,-90.065827)|(40.4201614,-91.3408956)",False,"40.5538524, 43.4879258, 43.5397137, 42.0394767, 40.4201614","-95.8256197, -96.9237323, -91.104382, -90.065827, -91.3408956"
17,746,08/20/2019,"Annual Average Daily Vehicle Counts / Baraga County, Michigan, United States / 2015","Points:(46.937837--88.452716),(46.850905--88.677985),(46.421146--88.678557),(46.420556--88.117615),(46.911555--88.046112)","(46.937837,-88.452716)|(46.850905,-88.677985)|(46.421146,-88.678557)|(46.420556,-88.117615)|(46.911555,-88.046112)",False,"46.937837, 46.850905, 46.421146, 46.420556, 46.911555","-88.452716, -88.677985, -88.678557, -88.117615, -88.046112"
21,750,08/20/2019,"Annual Average Daily Vehicle Counts / Gogebic County, Michigan, United States / 2015","Points:(46.565342--90.41599),(46.337495--90.118115),(46.105678--88.994167),(46.330589--88.994776),(46.698379--89.974927)","(46.565342,-90.41599)|(46.337495,-90.118115)|(46.105678,-88.994167)|(46.330589,-88.994776)|(46.698379,-89.974927)",False,"46.565342, 46.337495, 46.105678, 46.330589, 46.698379","-90.41599, -90.118115, -88.994167, -88.994776, -89.974927"
25,754,08/20/2019,"Annual Average Daily Vehicle Counts / Houghton County, Michigan, United States / 2015","Points:(46.998243--88.976827),(46.421015--88.990927),(46.421749--88.681743),(47.189218--88.238094),(47.299231--88.494102)","(46.998243,-88.976827)|(46.421015,-88.990927)|(46.421749,-88.681743)|(47.189218,-88.238094)|(47.299231,-88.494102)",False,"46.998243, 46.421015, 46.421749, 47.189218, 47.299231","-88.976827, -88.990927, -88.681743, -88.238094, -88.494102"
29,762,08/20/2019,"Annual Average Daily Vehicle Counts / Charlevoix County, Michigan, United States / 2014","Points:(45.751162--85.560604),(45.585504--85.619981),(45.208624--85.387029),(45.116348--84.737626),(45.288195--84.735244)","(45.751162,-85.560604)|(45.585504,-85.619981)|(45.208624,-85.387029)|(45.116348,-84.737626)|(45.288195,-84.735244)",False,"45.751162, 45.585504, 45.208624, 45.116348, 45.288195","-85.560604, -85.619981, -85.387029, -84.737626, -84.735244"
30,764,08/19/2019,"Annual Average Daily Vehicle Counts / Dickinson County, Michigan, United States / 2014","Points:(46.245813--88.11661),(45.818648--88.134201),(45.723492--87.846062),(45.723657--87.69873),(46.245174--87.617956)","(46.245813,-88.11661)|(45.818648,-88.134201)|(45.723492,-87.846062)|(45.723657,-87.69873)|(46.245174,-87.617956)",False,"46.245813, 45.818648, 45.723492, 45.723657, 46.245174","-88.11661, -88.134201, -87.846062, -87.69873, -87.617956"
31,765,08/19/2019,"Annual Average Daily Vehicle Counts / Menominee County, Michigan, United States / 2014","Points:(45.984257--87.615902),(45.897594--87.695127),(45.355479--87.886015),(45.098345--87.596469),(45.549661--87.265768)","(45.984257,-87.615902)|(45.897594,-87.695127)|(45.355479,-87.886015)|(45.098345,-87.596469)|(45.549661,-87.265768)",False,"45.984257, 45.897594, 45.355479, 45.098345, 45.549661","-87.615902, -87.695127, -87.886015, -87.596469, -87.265768"
32,766,08/19/2019,"Annual Average Daily Vehicle Counts / Delta County, Michigan, United States / 2014","Points:(46.155602--87.237893),(45.552182--87.325739),(45.668717--86.965528),(45.601604--86.610706),(46.156467--86.491117)","(46.155602,-87.237893)|(45.552182,-87.325739)|(45.668717,-86.965528)|(45.601604,-86.610706)|(46.156467,-86.491117)",False,"46.155602, 45.552182, 45.668717, 45.601604, 46.156467","-87.237893, -87.325739, -86.965528, -86.610706, -86.491117"
33,767,08/19/2019,"Annual Average Daily Vehicle Counts / Alger County, Michigan, United States / 2014","Points:(46.49443--87.1151),(46.159873--87.115512),(46.161457--86.617986),(46.334691--86.369483),(46.6892--85.865807)","(46.49443,-87.1151)|(46.159873,-87.115512)|(46.161457,-86.617986)|(46.334691,-86.369483)|(46.6892,-85.865807)",False,"46.49443, 46.159873, 46.161457, 46.334691, 46.6892","-87.1151, -87.115512, -86.617986, -86.369483, -85.865807"
